Date,Open,High,Low,Close,Volume,Adjusted Close
10/18/2012,5675.299805,5722.5,5650.549805,5718.700195,0,5718.700195
10/17/2012,5681.100098,5684.350098,5633.899902,5660.25,0,5660.25
10/16/2012,5705.600098,5714,5635.600098,5648,0,5648
10/15/2012,5674.25,5693.700195,5651.049805,5687.25,0,5687.25
10/12/2012,5681.700195,5725,5659.350098,5676.049805,0,5676.049805
10/11/2012,5663.5,5721.100098,5636.950195,5708.049805,0,5708.049805
10/10/2012,5671.149902,5686.5,5647.049805,5652.149902,0,5652.149902
10/9/2012,5708.149902,5728.649902,5677.899902,5704.600098,0,5704.600098
10/8/2012,5751.850098,5751.850098,5666.200195,5676,0,5676
10/5/2012,5815,5815.350098,4888.200195,5746.950195,0,5746.950195
10/4/2012,5751.549805,5807.25,5751.350098,5787.600098,0,5787.600098
10/3/2012,5718.799805,5743.25,5715.799805,5731.25,0,5731.25
10/1/2012,5704.75,5722.950195,5694,5718.799805,0,5718.799805
9/28/2012,5684.799805,5735.149902,5683.450195,5703.299805,0,5703.299805
9/27/2012,5673.75,5693.700195,5639.700195,5649.5,0,5649.5
9/26/2012,5653.399902,5672.799805,5638.649902,5663.450195,0,5663.450195
9/25/2012,5674.899902,5702.700195,5652.450195,5673.899902,0,5673.899902
9/24/2012,5691.950195,5709.850098,5662.75,5669.600098,0,5669.600098
9/21/2012,5577,5720,5575.450195,5691.149902,0,5691.149902
9/20/2012,5600.049805,5600.049805,5534.899902,5554.25,0,5554.25
9/18/2012,5602.399902,5620.549805,5586.450195,5600.049805,0,5600.049805
9/17/2012,5631.75,5652.200195,5585.149902,5610,0,5610
9/14/2012,5528.350098,5586.649902,5526.950195,5577.649902,0,5577.649902
9/13/2012,5435.200195,5447.450195,5421.850098,5435.350098,0,5435.350098
9/12/2012,5404.450195,5435.549805,5393.950195,5431,0,5431
9/11/2012,5336.100098,5393.350098,5332.100098,5390,0,5390
9/10/2012,5361.899902,5375.450195,5349.100098,5363.450195,0,5363.450195
9/8/2012,null,null,null,null,null,null
9/7/2012,5309.450195,5347.149902,5309.200195,5342.100098,0,5342.100098
9/6/2012,5217.649902,5260.600098,5217.649902,5238.399902,0,5238.399902
9/5/2012,5243.899902,5259.5,5215.700195,5225.700195,0,5225.700195
9/4/2012,5249.149902,5278.350098,5233.200195,5274,0,5274
9/3/2012,5276.5,5295.799805,5243.149902,5253.75,0,5253.75
8/31/2012,5298.200195,5303.25,5238.899902,5258.5,0,5258.5
8/30/2012,5268.600098,5342.799805,5255.049805,5315.049805,0,5315.049805
8/29/2012,5343.850098,5345.5,5282.700195,5287.799805,0,5287.799805
8/28/2012,null,null,null,null,null,null
8/27/2012,5387.850098,5399.149902,5346.649902,5350.25,0,5350.25
8/24/2012,5392.600098,5399.649902,5371,5386.700195,0,5386.700195
8/23/2012,5426.149902,5448.600098,5393.850098,5415.350098,0,5415.350098
8/22/2012,5395.75,5433.350098,5394.799805,5412.850098,0,5412.850098
8/21/2012,5366.299805,5425.149902,5366.299805,5421,0,5421
8/17/2012,5368.600098,5399.950195,5341.700195,5366.299805,0,5366.299805
8/16/2012,5380.350098,5390.649902,5356.649902,5362.950195,0,5362.950195
8/14/2012,5343.25,5387.049805,5328.799805,5380.350098,0,5380.350098
8/13/2012,5316.350098,5352.450195,5309.049805,5347.899902,0,5347.899902
8/10/2012,5308.200195,5330.100098,5294.100098,5320.399902,0,5320.399902
8/9/2012,5348.299805,5368.200195,5312.100098,5322.950195,0,5322.950195
8/8/2012,5345.25,5377.600098,5331.049805,5338,0,5338
8/7/2012,5295.399902,5350.100098,5281.649902,5336.700195,0,5336.700195
8/6/2012,5260.850098,5293.200195,5260.850098,5282.549805,0,5282.549805
8/3/2012,5195.600098,5220.200195,5164.649902,5215.700195,0,5215.700195
8/2/2012,5233.100098,5236.899902,5209.950195,5227.75,0,5227.75
8/1/2012,5220.700195,5246.350098,5212.649902,5240.5,0,5240.5
7/31/2012,5214.850098,5234.549805,5154.049805,5229,0,5229
7/30/2012,5129.75,5206.600098,5129.75,5199.799805,0,5199.799805
7/27/2012,5124.299805,5149.950195,5077.5,5099.850098,0,5099.850098
7/26/2012,5126.299805,5126.299805,5032.399902,5043,0,5043
7/25/2012,5118.399902,5121.600098,5076.600098,5109.600098,0,5109.600098
7/24/2012,5128.799805,5144,5103.25,5128.200195,0,5128.200195
7/23/2012,5163.25,5164.200195,5108.100098,5117.950195,0,5117.950195
7/20/2012,5233.549805,5238.700195,5197.5,5205.100098,0,5205.100098
7/19/2012,5249.850098,5257.75,5233.149902,5242.700195,0,5242.700195
7/18/2012,5199.100098,5222.850098,5169.049805,5216.299805,0,5216.299805
7/17/2012,5228.049805,5236.700195,5181.700195,5192.850098,0,5192.850098
7/16/2012,5232.350098,5246.850098,5190.450195,5197.25,0,5197.25
7/13/2012,5242.75,5267.149902,5216.850098,5227.25,0,5227.25
7/12/2012,5240,5261.75,5217.700195,5235.25,0,5235.25
7/11/2012,5315.25,5336.450195,5300.25,5306.299805,0,5306.299805
7/10/2012,5286.600098,5348.549805,5284.549805,5345.350098,0,5345.350098
7/9/2012,5283.700195,5300.600098,5257.75,5275.149902,0,5275.149902
7/6/2012,5324.700195,5327.200195,5287.75,5316.950195,0,5316.950195
7/5/2012,5297.049805,5333.649902,5288.850098,5327.299805,0,5327.299805
7/4/2012,5310.399902,5317.649902,5273.299805,5302.549805,0,5302.549805
7/3/2012,5298.850098,5317,5265.950195,5287.950195,0,5287.950195
7/2/2012,5283.850098,5302.149902,5263.350098,5278.600098,0,5278.600098
6/29/2012,5191.25,5286.25,5189,5278.899902,0,5278.899902
6/28/2012,5148.950195,5159.049805,5125.299805,5149.149902,0,5149.149902
6/27/2012,5149.450195,5160.100098,5129.25,5141.899902,0,5141.899902
6/26/2012,5107.450195,5134.549805,5095.5,5120.799805,0,5120.799805
6/25/2012,5158.5,5194.600098,5105.649902,5114.649902,0,5114.649902
6/22/2012,5101.75,5159.799805,5094,5146.049805,0,5146.049805
6/21/2012,5097.350098,5170.399902,5093.450195,5165,0,5165
6/20/2012,5114.549805,5141.700195,5100.700195,5120.549805,0,5120.549805
6/19/2012,5050.799805,5113.600098,5048.100098,5103.850098,0,5103.850098
6/18/2012,5174,5190.200195,5041.700195,5064.25,0,5064.25
6/15/2012,5069.549805,5146.200195,5069.149902,5139.049805,0,5139.049805
6/14/2012,5105.100098,5130,5047.600098,5054.75,0,5054.75
6/13/2012,5117.549805,5144.899902,5095.450195,5121.450195,0,5121.450195
6/12/2012,5015.5,5128.899902,5015.149902,5115.899902,0,5115.899902
6/11/2012,5096.700195,5124.450195,5040.700195,5054.100098,0,5054.100098
6/8/2012,5044.25,5084.450195,4994.799805,5068.350098,0,5068.350098
6/7/2012,5035.350098,5059.649902,5007.75,5049.649902,0,5049.649902
6/6/2012,4886.649902,5010.450195,4886.149902,4997.100098,0,4997.100098
6/5/2012,4869.450195,4898.950195,4847.700195,4863.299805,0,4863.299805
6/4/2012,4797.299805,4858.299805,4770.350098,4848.149902,0,4848.149902
6/1/2012,4910.850098,4925,4831.75,4841.600098,0,4841.600098
5/31/2012,4896.100098,4924.25,4894.450195,4924.25,0,4924.25
5/30/2012,4964.25,4982.25,4944.899902,4950.75,0,4950.75
5/29/2012,5005.350098,5020.149902,4982.149902,4990.100098,0,4990.100098
5/28/2012,4931.700195,4994.950195,4931.299805,4985.649902,0,4985.649902
5/25/2012,4905.950195,4935.799805,4889.350098,4920.399902,0,4920.399902
5/24/2012,4863.399902,4931.899902,4830.149902,4921.399902,0,4921.399902
5/23/2012,4843,4853.75,4803.950195,4835.649902,0,4835.649902
5/22/2012,4954.700195,4956.350098,4849.899902,4860.5,0,4860.5
5/21/2012,null,null,null,null,null,null
5/18/2012,4796.399902,4908.5,4788.950195,4891.450195,0,4891.450195
5/17/2012,4878.600098,4922.25,4850.200195,4870.200195,0,4870.200195
5/16/2012,4875.299805,4882.25,4837.049805,4858.25,0,4858.25
5/15/2012,4869.850098,4955.200195,4868.549805,4942.799805,0,4942.799805
5/14/2012,4934.350098,4957.200195,4874.5,4907.799805,0,4907.799805
5/11/2012,4938.850098,4976.25,4906.149902,4928.899902,0,4928.899902
5/10/2012,4984.149902,5039.299805,4950.299805,4965.700195,0,4965.700195
5/9/2012,4967.899902,5016.25,4956.450195,4974.799805,0,4974.799805
5/8/2012,5114.700195,5119.950195,4983.600098,4999.950195,0,4999.950195
5/7/2012,5017.799805,5124.75,4988,5114.149902,0,5114.149902
5/4/2012,5166.649902,5177.200195,5070.600098,5086.850098,0,5086.850098
5/3/2012,5211.200195,5217.299805,5180.649902,5188.399902,0,5188.399902
5/2/2012,5248.149902,5279.600098,5226.450195,5239.149902,0,5239.149902
4/30/2012,5201.450195,5262.149902,5201.450195,5248.149902,0,5248.149902
4/27/2012,5189,5223.049805,5154.299805,5190.600098,0,5190.600098
4/26/2012,5214.75,5215.600098,5179.049805,5189,0,5189
4/25/2012,5222.200195,5236.100098,5160.649902,5202,0,5202
4/24/2012,5215.899902,5232.350098,5180.350098,5222.649902,0,5222.649902
4/23/2012,5277.399902,5310.549805,5187.149902,5200.600098,0,5200.600098
4/20/2012,5313.950195,5336.149902,5245.450195,5290.850098,0,5290.850098
4/19/2012,5320.600098,5342.450195,5291.299805,5332.399902,0,5332.399902
4/18/2012,5320.700195,5342,5293.450195,5300,0,5300
4/17/2012,5266.600098,5298.200195,5208.350098,5289.700195,0,5289.700195
4/16/2012,5190.600098,5233.5,5183.5,5226.200195,0,5226.200195
4/13/2012,5255.700195,5306.75,5185.399902,5207.450195,0,5207.450195
4/12/2012,5246.75,5290.600098,5246.75,5276.850098,0,5276.850098
4/11/2012,5209.450195,5263.649902,5190.799805,5226.850098,0,5226.850098
4/10/2012,5254.100098,5255.799805,5211.850098,5243.600098,0,5243.600098
4/9/2012,5322.899902,5322.899902,5228,5234.399902,0,5234.399902
4/4/2012,5328.649902,5338.399902,5305.299805,5322.899902,0,5322.899902
4/3/2012,5353.200195,5378.75,5344.450195,5358.5,0,5358.5
